sequence_id,family,host,cluster,umap_x,umap_y
KY038163.1,astroviridae,non-human,6,-8.352381,11.095866
KY073229.1,astroviridae,non-human,8,6.588684,-3.1434546
KY073231.1,astroviridae,non-human,8,6.5933256,-3.1404977
KY073232.1,astroviridae,non-human,8,6.5873275,-3.1473095
KY271027.1,astroviridae,non-human,17,-5.538373,12.80179
KY271946.1,astroviridae,human,0,-1.0385538,6.887291
KY646154.1,astroviridae,non-human,4,-7.051313,15.897953
KY765684.1,astroviridae,non-human,12,-2.6445103,-0.9084698
KY807085.1,astroviridae,non-human,18,-8.233515,5.606627
KY855437.1,astroviridae,non-human,2,1.4071277,4.756259
KY855438.1,astroviridae,non-human,2,1.4042767,4.754152
KY855439.1,astroviridae,non-human,2,1.594599,6.5788355
KY855440.1,astroviridae,non-human,2,1.6561835,6.5578933
KY855441.1,astroviridae,non-human,2,1.626281,6.574399
KY855442.1,astroviridae,non-human,2,1.6108799,6.5698943
KY859988.1,astroviridae,non-human,2,2.8566816,6.110476
KY940076.1,astroviridae,non-human,2,3.296918,5.519164
KY940077.1,astroviridae,non-human,2,3.2074568,5.552624
KY940545.1,astroviridae,non-human,8,6.587825,-3.143414
L23513.1,astroviridae,human,0,-1.206473,6.804461
LC047787.1,astroviridae,non-human,2,0.77625734,4.272263
LC047788.1,astroviridae,non-human,19,12.007115,10.709787
LC047789.1,astroviridae,non-human,19,12.008676,10.710513
LC047790.1,astroviridae,non-human,2,1.4263176,4.7592626
LC047791.1,astroviridae,non-human,19,12.006674,10.710154
LC047792.1,astroviridae,non-human,19,12.003557,10.709787
LC047793.1,astroviridae,non-human,2,1.3983707,4.7257776
LC047794.1,astroviridae,non-human,19,12.008494,10.710175
LC047795.1,astroviridae,non-human,19,12.008181,10.710656
LC047796.1,astroviridae,non-human,2,0.9975107,4.4298954
LC047797.1,astroviridae,non-human,13,12.141632,5.2949677
LC047798.1,astroviridae,non-human,15,7.2623744,7.6154027
LC047799.1,astroviridae,non-human,19,12.00827,10.711937
LC047800.1,astroviridae,non-human,2,1.4230521,4.7607093
LC047801.1,astroviridae,non-human,19,12.007748,10.711064
LC064152.1,astroviridae,human,1,11.922159,12.558165
LC549662.1,astroviridae,non-human,2,1.4069581,4.7287736
LC694985.1,astroviridae,human,0,-1.0042183,6.919946
LC694986.1,astroviridae,human,0,-1.2604092,6.796336
LC694987.1,astroviridae,human,0,-1.2564579,6.793296
LC694988.1,astroviridae,human,0,-1.2680322,6.788779
LC694989.1,astroviridae,human,0,-1.2651329,6.792866
LC694990.1,astroviridae,human,0,-1.255639,6.793558
LC694991.1,astroviridae,human,0,-1.2783457,6.7792
LC694992.1,astroviridae,human,0,-1.2626305,6.7958703
LC694993.1,astroviridae,human,0,-1.2651278,6.79137
LC694994.1,astroviridae,human,0,-1.2657363,6.792269
LC694995.1,astroviridae,human,0,-1.2674181,6.7908373
LC694996.1,astroviridae,human,0,-1.1516787,6.841626
LC694997.1,astroviridae,human,0,-1.1568228,6.8480644
LC694998.1,astroviridae,human,1,11.920695,12.558721
LC694999.1,astroviridae,human,1,11.921267,12.557959
LC695000.1,astroviridae,human,1,11.916597,12.553732
LC732122.1,astroviridae,human,0,-1.037954,6.888934
LC732123.1,astroviridae,human,0,-1.0425835,6.887704
LC732124.1,astroviridae,human,0,-1.038966,6.888306
LC732125.1,astroviridae,human,2,3.1661048,7.8220243
LC778161.1,astroviridae,non-human,9,-11.276712,2.3131852
LC778163.1,astroviridae,non-human,9,-11.275308,2.3135538
LT706530.1,astroviridae,non-human,2,2.5648425,6.665873
LT706531.1,astroviridae,non-human,2,2.5631363,6.659494
LT898424.1,astroviridae,non-human,8,6.58843,-3.1434238
LT898434.1,astroviridae,non-human,2,3.3989286,5.6186676
MF684776.1,astroviridae,human,0,-1.0576522,6.9767375
MF973500.1,astroviridae,non-human,12,-2.6728804,-0.8877686
MF973501.1,astroviridae,non-human,12,-2.6712706,-0.8876971
MG660832.1,astroviridae,non-human,2,0.8466157,4.3188934
MG661261.1,astroviridae,non-human,2,2.3434365,7.4345384
MG921619.1,astroviridae,human,0,-1.0584744,6.976532
MG930777.1,astroviridae,non-human,2,3.2558277,5.5034966
MG934571.1,astroviridae,non-human,18,-8.17219,5.531438
MH028405.1,astroviridae,non-human,2,2.9903855,4.2365155
MH052598.1,astroviridae,non-human,18,-8.1947565,5.5568423
MH410610.1,astroviridae,non-human,17,-5.53954,12.795715
MH425243.1,astroviridae,non-human,7,-0.8174475,9.138427
MH712856.1,astroviridae,non-human,4,-7.057417,15.898282
MH807626.1,astroviridae,non-human,18,-8.1979265,5.5611362
MK026166.1,astroviridae,non-human,12,-2.63226,-0.9171668
MK059949.1,astroviridae,human,0,-1.2124962,6.8053975
MK059950.1,astroviridae,human,0,-0.99660486,6.9990005
MK059951.1,astroviridae,human,0,-1.0239305,6.8881483
MK059952.1,astroviridae,human,0,-0.98839086,7.0347776
MK059953.1,astroviridae,human,0,-1.0444511,6.972067
MK059954.1,astroviridae,human,0,-0.9478644,6.863867
MK059955.1,astroviridae,human,0,-0.9101416,6.864303
MK059956.1,astroviridae,human,0,-0.9891912,7.0295744
MK089434.1,astroviridae,human,1,11.921391,12.558128
MK089435.1,astroviridae,human,2,3.1878886,7.84628
MK096773.1,astroviridae,non-human,20,8.407069,8.676747
MK096774.1,astroviridae,non-human,2,2.1094885,7.622946
MK096775.1,astroviridae,non-human,2,3.272196,9.19362
MK096776.1,astroviridae,non-human,2,2.0589237,7.2939105
MK125058.1,astroviridae,non-human,18,-8.147961,5.506057
MK211323.1,astroviridae,non-human,2,2.9462156,4.0714726
MK386569.1,astroviridae,non-human,11,12.426461,2.7390435
MK387176.1,astroviridae,non-human,2,1.400531,4.721336
MK395166.1,astroviridae,non-human,2,1.5926095,5.062926
MK404646.1,astroviridae,non-human,2,3.200388,5.4880414
MK404647.1,astroviridae,non-human,2,3.2261393,5.5283375
MK404648.1,astroviridae,non-human,2,3.1322718,5.517205
MK404649.1,astroviridae,non-human,2,3.1951015,5.522272
MK450332.1,astroviridae,non-human,2,2.9877088,8.477666
MK460230.1,astroviridae,non-human,13,12.2069645,4.222873
MK460231.1,astroviridae,non-human,7,-0.81538844,9.139661
MK521912.1,astroviridae,non-human,2,1.9969031,6.9685645
MK613068.1,astroviridae,non-human,7,-0.8284643,9.138412
MK671306.1,astroviridae,non-human,9,-11.278396,2.3080437
MK671307.1,astroviridae,non-human,9,-11.276499,2.3132744
MK671308.1,astroviridae,non-human,9,-11.277141,2.3137188
MK671309.1,astroviridae,non-human,9,-11.276517,2.313281
MK671310.1,astroviridae,non-human,9,-11.276802,2.3127372
MK671311.1,astroviridae,non-human,9,-11.277376,2.3123674
MK671312.1,astroviridae,non-human,9,-11.278948,2.312191
MK671313.1,astroviridae,non-human,9,-11.277675,2.3124454
MK746105.2,astroviridae,non-human,6,-8.351542,11.094996
MK962341.1,astroviridae,non-human,8,6.589559,-3.1456683
MK962342.1,astroviridae,non-human,8,6.5890527,-3.144921
MN068023.1,astroviridae,non-human,18,-8.202259,5.564963
MN068024.1,astroviridae,non-human,18,-8.196793,5.560097
MN087316.1,astroviridae,non-human,2,1.8255169,8.404419
MN103532.1,astroviridae,non-human,18,-8.177658,5.537121
MN109954.1,astroviridae,non-human,18,-8.177323,5.536853
MN109955.1,astroviridae,non-human,18,-8.176298,5.534225
MN109956.1,astroviridae,non-human,18,-8.174904,5.534624
MN109957.1,astroviridae,non-human,18,-8.17341,5.5330043
MN127951.1,astroviridae,non-human,18,-8.148945,5.508965
MN127953.1,astroviridae,non-human,18,-8.302801,5.7039695
MN127954.1,astroviridae,non-human,18,-8.304721,5.70804
MN127956.1,astroviridae,non-human,18,-8.304893,5.708739
MN127958.1,astroviridae,non-human,18,-8.30477,5.708587
MN127959.1,astroviridae,non-human,18,-8.186671,5.5472574
MN148428.1,astroviridae,non-human,9,-11.277026,2.3138206
MN149392.1,astroviridae,non-human,4,-7.05023,15.903972
MN149393.1,astroviridae,non-human,4,-7.0570574,15.898743
MN149394.1,astroviridae,non-human,4,-7.0559087,15.8996315
MN149395.1,astroviridae,non-human,4,-7.046787,15.900473
MN150124.1,astroviridae,non-human,2,3.2299323,5.5223126
MN150125.1,astroviridae,non-human,13,12.271114,4.1904826
MN175321.1,astroviridae,non-human,18,-8.300722,5.6985307
MN307114.1,astroviridae,non-human,18,-8.191442,5.552916
MN307115.1,astroviridae,non-human,18,-8.188954,5.551251
MN307116.1,astroviridae,non-human,18,-8.284575,5.677841
MN307117.1,astroviridae,non-human,18,-8.309286,5.70978
MN307118.1,astroviridae,non-human,18,-8.326371,5.6593285
MN307119.1,astroviridae,non-human,18,-8.302254,5.703839
MN307120.1,astroviridae,non-human,18,-8.289154,5.7130036
MN337323.1,astroviridae,non-human,18,-8.211085,5.5814743
MN399857.1,astroviridae,non-human,18,-8.190467,5.5500045
MN428641.1,astroviridae,non-human,18,-8.186536,5.5476427
MN428642.1,astroviridae,non-human,18,-8.30441,5.707447
MN428643.1,astroviridae,non-human,18,-8.307521,5.6548166
MN428644.1,astroviridae,non-human,18,-8.186266,5.5497165
MN428645.1,astroviridae,non-human,18,-8.306539,5.705454
MN433703.1,astroviridae,human,0,-1.2498112,6.790201
MN433704.1,astroviridae,human,0,-1.2343231,6.788717
MN433705.1,astroviridae,human,0,-1.0355189,6.952901
MN433706.1,astroviridae,human,0,-1.05847,6.979848
MN444721.1,astroviridae,human,0,-1.0327834,6.887948
MN725026.1,astroviridae,non-human,6,-8.348989,11.094346
MN732558.1,astroviridae,non-human,2,2.9834228,4.19538
MN780842.1,astroviridae,non-human,2,1.5602815,5.004379
MN807051.1,astroviridae,non-human,6,-8.3468075,11.09386
MN809622.1,astroviridae,non-human,18,-8.203948,5.5714555
MN832787.1,astroviridae,non-human,2,1.8853511,6.492223
MN841288.1,astroviridae,non-human,2,3.002806,5.484585
MN881999.1,astroviridae,non-human,12,-2.671463,-0.88700986
MN882000.1,astroviridae,non-human,12,-2.6716118,-0.88725156
MN882001.1,astroviridae,non-human,12,-2.671572,-0.88664263
MN882002.1,astroviridae,non-human,12,-2.6695654,-0.88266003
MN882003.1,astroviridae,non-human,12,-2.6644378,-0.8917157
MN882004.1,astroviridae,non-human,12,-2.6409328,-0.9089606
MN882006.1,astroviridae,non-human,12,-2.6434956,-0.90967757
MN882007.1,astroviridae,non-human,12,-2.6392765,-0.90688014
MN882008.1,astroviridae,non-human,12,-2.637735,-0.907244
MN882009.1,astroviridae,non-human,12,-2.6396272,-0.90645736
MN882010.1,astroviridae,non-human,12,-2.6379948,-0.9063446
MN894548.1,astroviridae,non-human,18,-8.189162,5.5490847
MN920663.1,astroviridae,non-human,14,4.682557,10.399958
MN920664.1,astroviridae,non-human,2,2.1456945,7.1721725
MN920665.1,astroviridae,non-human,2,2.0036805,7.01966
MN920666.1,astroviridae,non-human,2,2.3489547,7.4341755
MN920667.1,astroviridae,non-human,2,2.0610368,7.1122665
MN920668.1,astroviridae,non-human,2,2.0627286,7.117879
MN920669.1,astroviridae,non-human,21,-6.0429716,5.404339
MN920670.1,astroviridae,non-human,2,2.1861129,7.518537
MN920671.1,astroviridae,non-human,21,-6.1350703,5.594974
MN920672.1,astroviridae,non-human,21,-6.057184,5.532727
MN977119.1,astroviridae,non-human,9,-11.278026,2.3127134
MT078247.1,astroviridae,non-human,12,-2.6422799,-0.91036415
MT078248.1,astroviridae,non-human,12,-2.6430998,-0.9111931
MT432184.1,astroviridae,human,5,6.114254,5.46129
MT451917.1,astroviridae,non-human,7,-0.82632214,9.136666
MT451918.1,astroviridae,non-human,7,-0.82364625,9.142775
MT470220.1,astroviridae,non-human,7,-0.8226428,9.142623
MT499771.1,astroviridae,non-human,2,1.4120489,4.74774
MT499772.1,astroviridae,non-human,13,12.355037,4.3231754
MT506231.1,astroviridae,non-human,13,12.444761,4.760455
MT585643.1,astroviridae,non-human,2,2.9887657,4.2331514
MT642595.1,astroviridae,non-human,2,3.1347132,3.6313655
MT642666.1,astroviridae,non-human,7,-0.8173099,9.139052
MT708902.1,astroviridae,non-human,18,-8.30792,5.713166
MT766313.1,astroviridae,non-human,2,2.8772717,6.0529757
MT766320.1,astroviridae,non-human,0,-1.2412671,6.8036366
MT789774.1,astroviridae,non-human,6,-8.355197,11.095815
MT789775.1,astroviridae,non-human,6,-8.351747,11.095081
MT789776.1,astroviridae,non-human,6,-8.353223,11.0956955
MT789777.1,astroviridae,non-human,6,-8.354004,11.096108
MT789778.1,astroviridae,non-human,6,-8.353518,11.095955
MT789779.1,astroviridae,non-human,6,-8.353947,11.0959835
MT789780.1,astroviridae,non-human,6,-8.353238,11.095865
MT789781.1,astroviridae,non-human,6,-8.353313,11.095625
MT789782.1,astroviridae,non-human,6,-8.351136,11.095137
MT789783.1,astroviridae,non-human,6,-8.352191,11.095048
MT789784.1,astroviridae,non-human,6,-8.352713,11.095207
MT789785.1,astroviridae,non-human,6,-8.351467,11.095272
MT789787.1,astroviridae,non-human,6,-8.351293,11.095324
MT832892.1,astroviridae,human,0,-1.2386256,6.781136
MT832893.1,astroviridae,human,0,-1.2389957,6.785039
MT832894.1,astroviridae,human,0,-1.2408847,6.7786803
MT832895.1,astroviridae,human,0,-1.2385434,6.781615
MT832896.1,astroviridae,human,0,-1.2354501,6.7769628
MT832897.1,astroviridae,human,0,-1.2428265,6.7775636
MT894143.1,astroviridae,non-human,12,-2.6397932,-0.90772
MT934437.1,astroviridae,non-human,18,-8.330829,5.662459
MT934438.1,astroviridae,non-human,18,-8.341932,5.642942
MT934439.1,astroviridae,non-human,18,-8.32565,5.652692
MW037839.1,astroviridae,non-human,2,3.2092533,5.5087204
MW037840.1,astroviridae,non-human,2,1.6846694,6.6576247
MW037841.1,astroviridae,non-human,9,-11.276663,2.3129277
MW164633.1,astroviridae,non-human,9,-11.279618,2.3134398
MW217578.1,astroviridae,non-human,4,-7.0582275,15.89774
MW249010.1,astroviridae,non-human,20,8.373106,8.655505
MW345727.1,astroviridae,non-human,18,-8.320549,5.7117987
MW353015.1,astroviridae,non-human,17,-5.534996,12.798141
MW413813.1,astroviridae,non-human,18,-8.310072,5.714442
MW485040.1,astroviridae,human,0,-1.1610998,6.842272
MW485042.1,astroviridae,human,0,-0.9585678,6.9158683
MW536497.1,astroviridae,non-human,18,-8.31855,5.7112923
MW592377.1,astroviridae,non-human,18,-8.311244,5.714778
MW592378.1,astroviridae,non-human,18,-8.307195,5.712013
MW592379.1,astroviridae,non-human,18,-8.324388,5.7303133
MW653751.1,astroviridae,non-human,8,6.589216,-3.1412923
MW653752.1,astroviridae,non-human,8,6.589772,-3.1438432
MW732145.1,astroviridae,non-human,8,6.5900316,-3.1437378
MW732146.1,astroviridae,non-human,8,6.590145,-3.1432147
MW732147.1,astroviridae,non-human,8,6.5933256,-3.1489756
MW732148.1,astroviridae,non-human,8,6.594193,-3.1515784
MW732149.1,astroviridae,non-human,8,6.588995,-3.1498373
MW732150.1,astroviridae,non-human,8,6.588486,-3.1445649
MW732151.1,astroviridae,non-human,8,6.593376,-3.1483095
MW732152.1,astroviridae,non-human,8,6.589822,-3.1432328
MW732153.1,astroviridae,non-human,8,6.5986056,-3.1625788
MW732154.1,astroviridae,non-human,8,6.5932465,-3.149284
MW732155.1,astroviridae,non-human,8,6.5905523,-3.1456127
MW732156.1,astroviridae,non-human,8,6.5931697,-3.1489236
MW732157.1,astroviridae,non-human,8,6.590594,-3.1444554
MW784069.1,astroviridae,non-human,2,3.2421892,5.530994
MW784070.1,astroviridae,non-human,7,-0.82534707,9.142138
MW784071.1,astroviridae,non-human,7,-0.82106537,9.144072
MW784073.1,astroviridae,non-human,7,-0.82269263,9.142388
MW784074.1,astroviridae,non-human,7,-0.82295895,9.141398
MW784076.1,astroviridae,non-human,2,3.2166095,5.64901
MW784078.1,astroviridae,non-human,2,3.275689,5.483354
MW784079.1,astroviridae,non-human,2,3.2178674,5.522322
MW784081.1,astroviridae,non-human,2,3.1258428,5.51488
MW784082.1,astroviridae,non-human,15,7.3209276,7.646247
MW784083.1,astroviridae,non-human,2,1.6102958,4.9433093
MW784090.1,astroviridae,non-human,7,-0.8221399,9.142893
MW784091.1,astroviridae,non-human,2,3.2084005,5.56178
MW784092.1,astroviridae,non-human,2,3.2318656,5.512279
MW784093.1,astroviridae,non-human,7,-0.8215384,9.143334
MW784095.1,astroviridae,non-human,7,-0.8250959,9.141745
MW784096.1,astroviridae,non-human,7,-0.8242512,9.143533
MW784101.1,astroviridae,non-human,7,-0.82663214,9.142752
MW784102.1,astroviridae,non-human,2,1.6835468,6.7131763
MW784105.1,astroviridae,non-human,2,3.2180593,5.5097938
MW784106.1,astroviridae,non-human,2,3.1013033,5.5041304
MW784108.1,astroviridae,non-human,2,3.2412326,5.5341115
MW784109.1,astroviridae,non-human,2,3.228929,5.5194106
MW786757.1,astroviridae,non-human,17,-5.5417595,12.796546
MW846319.1,astroviridae,non-human,6,-8.353348,11.095807
MW897146.1,astroviridae,non-human,2,1.4417531,4.699806
MW962975.1,astroviridae,non-human,7,-0.8326762,9.135781
MZ005893.1,astroviridae,non-human,2,3.1057336,5.5165863
MZ150559.1,astroviridae,non-human,2,3.0121164,4.286352
MZ209691.1,astroviridae,non-human,2,1.5550485,4.8131003
MZ367612.1,astroviridae,non-human,18,-8.316741,5.7127085
MZ540211.1,astroviridae,non-human,18,-8.304213,5.708284
MZ546174.1,astroviridae,human,0,-1.1707414,6.84234
MZ576222.1,astroviridae,non-human,18,-8.332915,5.7402024
MZ603733.1,astroviridae,non-human,2,0.755728,4.257513
MZ648231.1,astroviridae,non-human,18,-8.308455,5.714173
MZ707081.1,astroviridae,human,1,11.921737,12.559402
MZ819164.1,astroviridae,non-human,2,3.1909404,5.490126
MZ819165.1,astroviridae,non-human,2,3.1692653,5.4834714
MZ819167.1,astroviridae,non-human,2,3.1288579,3.641345
MZ819168.1,astroviridae,non-human,2,3.1274478,3.6427782
MZ819170.1,astroviridae,non-human,2,3.1244476,3.6457553
MZ819171.1,astroviridae,non-human,2,3.1233299,3.6481147
MZ819172.1,astroviridae,non-human,2,3.1263757,3.6436775
MZ819183.1,astroviridae,non-human,18,-8.328383,5.7362947
MZ819184.1,astroviridae,non-human,18,-8.310784,5.7145805
MZ819185.1,astroviridae,non-human,17,-5.5387855,12.7957325
NC_001943.1,astroviridae,human,0,-1.191739,6.825189
NC_002469.1,astroviridae,non-human,2,2.9669914,4.119319
NC_003790.1,astroviridae,non-human,2,2.9817371,4.220874
NC_004579.1,astroviridae,non-human,2,3.0122578,5.417839
NC_005790.1,astroviridae,non-human,3,8.224463,-1.1044449
NC_011400.1,astroviridae,non-human,1,11.919083,12.558034
NC_012437.1,astroviridae,non-human,4,-7.0568852,15.898244
NC_013060.1,astroviridae,human,5,6.1331844,5.456252
NC_013443.1,astroviridae,human,2,1.8313593,6.8538666
NC_015935.1,astroviridae,non-human,2,3.3110304,7.8069334
NC_016155.1,astroviridae,human,2,3.156621,7.874725
NC_016896.1,astroviridae,non-human,7,-0.823099,9.144207
NC_018702.1,astroviridae,non-human,2,1.552872,5.0058026
NC_019026.1,astroviridae,human,2,1.9500561,6.9667997
NC_019027.1,astroviridae,human,2,1.9076532,7.0268817
