accession,organism,length,collection_date,country,strain,lineage,isolate,host,isolation_source,submission_date,batch
MT481897.1,Severe acute respiratory syndrome coronavirus 2,29800,2020/05/20,NA,NA,S1656,SARS-CoV-2/human/IND/GBRC76/2020,Homo sapiens,NA,20-MAY-2020,3
MT270108.1,Severe acute respiratory syndrome coronavirus 2,29782,2020/05/20,NA,NA,NA,SARS-CoV-2/human/DEU/BavPat9-ChVir1433/2020,Homo sapiens,NA,19-MAY-2020,3
MT270112.1,Severe acute respiratory syndrome coronavirus 2,29858,2020/05/20,NA,NA,NA,SARS-CoV-2/human/DEU/BavPat2-ChVir984- ChVir1017/2020,Homo sapiens,NA,19-MAY-2020,3
MT439253.1,Severe acute respiratory syndrome coronavirus 2,29815,2020/05/07,NA,NA,NA,SARS-CoV-2/human/USA/MI-MDHHS-SC20173/2020,Homo sapiens,swab,07-MAY-2020,3
MT438722.1,Severe acute respiratory syndrome coronavirus 2,29903,2020/05/07,NA,NA,NA,SARS-CoV-2/human/USA/CA-CZB-1004/2020,Homo sapiens,nasopharyngeal/oropharyngeal swab,21-MAY-2020,3
MT438718.1,Severe acute respiratory syndrome coronavirus 2,29864,2020/05/07,NA,NA,NA,SARS-CoV-2/human/USA/CA-CZB-1000/2020,Homo sapiens,nasopharyngeal/oropharyngeal swab,21-MAY-2020,3
MT439268.1,Severe acute respiratory syndrome coronavirus 2,29816,2020/05/07,NA,NA,NA,SARS-CoV-2/human/USA/MI-MDHHS-SC20107/2020,Homo sapiens,swab,07-MAY-2020,3
MT439256.1,Severe acute respiratory syndrome coronavirus 2,29813,2020/05/07,NA,NA,NA,SARS-CoV-2/human/USA/MI-MDHHS-SC20156/2020,Homo sapiens,swab,07-MAY-2020,3
MT474129.1,Severe acute respiratory syndrome coronavirus 2,29875,2020/05/15,NA,NA,NA,SARS-CoV-2/human/USA/CA-CZB-1124/2020,Homo sapiens,nasopharyngeal/oropharyngeal swab,15-MAY-2020,3
MT079852.1,Severe acute respiratory syndrome coronavirus 2,29891,2020/05/15,NA,NA,NA,SARS-CoV-2/human/CHN/WHUHnCoV012/2020,Homo sapiens,NA,15-MAY-2020,3
MT474138.1,Severe acute respiratory syndrome coronavirus 2,29900,2020/05/15,NA,NA,NA,SARS-CoV-2/human/USA/CA-CZB-1134/2020,Homo sapiens,nasopharyngeal/oropharyngeal swab,15-MAY-2020,3
MT474137.1,Severe acute respiratory syndrome coronavirus 2,29900,2020/05/15,NA,NA,NA,SARS-CoV-2/human/USA/CA-CZB-1133/2020,Homo sapiens,nasopharyngeal/oropharyngeal swab,15-MAY-2020,3
MT079843.1,Severe acute respiratory syndrome coronavirus 2,29915,2020/05/15,NA,NA,NA,SARS-CoV-2/human/CHN/WHUHnCoV001/2020,Homo sapiens,NA,15-MAY-2020,3
MT476385.1,Severe acute respiratory syndrome coronavirus 2,29902,2020/05/15,NA,NA,NA,SARS-CoV-2/human/BGD/CHRF_0001/2020,Homo sapiens,NA,15-MAY-2020,3
MT474136.1,Severe acute respiratory syndrome coronavirus 2,29872,2020/05/15,NA,NA,NA,SARS-CoV-2/human/USA/CA-CZB-1132/2020,Homo sapiens,nasopharyngeal/oropharyngeal swab,15-MAY-2020,3
LC546038.1,Severe acute respiratory syndrome coronavirus 2,29876,2020/05/15,NA,SARS-CoV-2/Hu/Kng/19-865,NA,NA,Homo sapiens,nasopharyngeal swab,29-JAN-2021,3
MT509702.1,Severe acute respiratory syndrome coronavirus 2,29803,2020/05/24,NA,NA,NA,SARS-CoV-2/human/USA/MI-MDHHS-SC20356/2020,Homo sapiens,NA,24-MAY-2020,3
MT509651.1,Severe acute respiratory syndrome coronavirus 2,29800,2020/05/24,NA,NA,NA,SARS-CoV-2/human/IND/GBRC117/2020,Homo sapiens,NA,24-MAY-2020,3
MT407659.1,Severe acute respiratory syndrome coronavirus 2,29828,2020/05/29,NA,NA,NA,SARS-CoV-2/human/CHN/OS4/2020,Homo sapiens,NA,29-MAY-2020,3
MT534330.1,Severe acute respiratory syndrome coronavirus 2,29903,2020/05/29,NA,USA/CA-CZB-1260/2020,NA,SARS-CoV-2/human/USA/CA-CZB-1260/2020,Homo sapiens,nasopharyngeal/oropharyngeal swab,29-MAY-2020,3
MT534311.1,Severe acute respiratory syndrome coronavirus 2,29901,2020/05/29,NA,USA/CA-CZB-1241/2020,NA,SARS-CoV-2/human/USA/CA-CZB-1241/2020,Homo sapiens,nasopharyngeal/oropharyngeal swab,29-MAY-2020,3
MT510747.1,Severe acute respiratory syndrome coronavirus 2,29457,2020/05/26,NA,NA,NA,SARS-CoV-2/human/RUS/SCPM-O-cDNA-07/2020,Homo sapiens,NA,26-MAY-2020,3
MT512430.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/05/26,NA,NA,NA,SARS-CoV-2/human/USA/CO-CDC-03069232-001/2020,Homo sapiens,Throat (Oropharyngeal) swab,08-NOV-2021,3
MT510718.1,Severe acute respiratory syndrome coronavirus 2,29799,2020/05/26,NA,NA,NA,SARS-CoV-2/human/USA/hCoV-19-USA-CA-UCSF- UC40/2020,Homo sapiens,nasal swab,26-MAY-2020,3
MT511069.1,Severe acute respiratory syndrome coronavirus 2,29903,2020/05/26,NA,NA,NA,SARS-CoV-2/human/POL/PL_P13/2020,Homo sapiens,oronasopharynx,26-MAY-2020,3
MT509669.1,Severe acute respiratory syndrome coronavirus 2,29802,2020/05/31,NA,NA,NA,SARS-CoV-2/human/USA/MI-MDHHS-SC20322/2020,Homo sapiens,NA,24-MAY-2020,3
MT533232.1,Severe acute respiratory syndrome coronavirus 2,29842,2020/05/31,NA,NA,NA,SARS-CoV-2/human/USA/CA-CZB-1277/2020,Homo sapiens,Nasopharyngeal/oropharyngeal swab,28-MAY-2020,3
MT517426.1,Severe acute respiratory syndrome coronavirus 2,29861,2020/05/31,NA,NA,NA,SARS-CoV-2/human/CZE/IAB_14/2020,Homo sapiens,nasopharyngeal swab,27-MAY-2020,3
MT517428.1,Severe acute respiratory syndrome coronavirus 2,29852,2020/05/31,NA,NA,NA,SARS-CoV-2/human/CZE/IAB_16/2020,Homo sapiens,nasopharyngeal swab,27-MAY-2020,3
MT517421.1,Severe acute respiratory syndrome coronavirus 2,29865,2020/05/31,NA,NA,NA,SARS-CoV-2/human/CZE/IAB_4/2020,Homo sapiens,nasopharyngeal swab,27-MAY-2020,3
MT528602.1,Severe acute respiratory syndrome coronavirus 2,29834,2020/05/31,NA,NA,NA,SARS-CoV-2/human/USA/UNC_200242/2020,Homo sapiens,nasal swab,28-MAY-2020,3
MT517422.1,Severe acute respiratory syndrome coronavirus 2,29862,2020/05/31,NA,NA,NA,SARS-CoV-2/human/CZE/IAB_8/2020,Homo sapiens,nasopharyngeal swab,27-MAY-2020,3
MT318827.1,Severe acute respiratory syndrome coronavirus 2,29870,2020/05/04,NA,NA,NA,SARS-CoV-2/human/DEU/HH-1/2020,Homo sapiens,swab,10-JUN-2020,3
MT422807.1,Severe acute respiratory syndrome coronavirus 2,29903,2020/05/04,NA,NA,NA,SARS-CoV-2/human/USA/UF-5/2020,Homo sapiens,nasal swab specimen,04-MAY-2020,3
MT422806.1,Severe acute respiratory syndrome coronavirus 2,29903,2020/05/04,NA,NA,NA,SARS-CoV-2/human/USA/UF-4/2020,Homo sapiens,nasal swab specimen,04-MAY-2020,3
MT459878.1,Severe acute respiratory syndrome coronavirus 2,29818,2020/05/13,NA,NA,NA,SARS-CoV-2/human/GRC/210_33942/2020,Homo sapiens,NA,13-MAY-2020,3
MT460138.1,Severe acute respiratory syndrome coronavirus 2,29862,2020/05/13,NA,NA,NA,SARS-CoV-2/human/USA/CA-CZB-1118/2020,Homo sapiens,nasopharyngeal/oropharyngeal swab,21-MAY-2020,3
MT459851.1,Severe acute respiratory syndrome coronavirus 2,29818,2020/05/13,NA,NA,NA,SARS-CoV-2/human/GRC/135_32174/2020,Homo sapiens,NA,13-MAY-2020,3
MT459913.1,Severe acute respiratory syndrome coronavirus 2,29818,2020/05/13,NA,NA,NA,SARS-CoV-2/human/GRC/255_32525/2020,Homo sapiens,NA,13-MAY-2020,3
MT459903.1,Severe acute respiratory syndrome coronavirus 2,29818,2020/05/13,NA,NA,NA,SARS-CoV-2/human/GRC/40_36244/2020,Homo sapiens,NA,13-MAY-2020,3
MT459896.1,Severe acute respiratory syndrome coronavirus 2,29818,2020/05/13,NA,NA,NA,SARS-CoV-2/human/GRC/33_36910/2020,Homo sapiens,NA,13-MAY-2020,3
MT461635.1,Severe acute respiratory syndrome coronavirus 2,29852,2020/05/13,NA,NA,NA,SARS-CoV-2/human/USA/ID-UW-6466/2020,Homo sapiens,NP/OP swab,27-MAY-2020,3
MT461640.1,Severe acute respiratory syndrome coronavirus 2,29919,2020/05/13,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW-6480/2020,Homo sapiens,NP/OP swab,27-MAY-2020,3
MT551607.1,Severe acute respiratory syndrome coronavirus 2,29834,2020/06/02,NA,NA,NA,SARS-CoV-2/human/USA/UNC_200468/2020,Homo sapiens,nasal swab,02-JUN-2020,3
MT416725.2,Severe acute respiratory syndrome coronavirus 2,29866,2020/06/02,NA,NA,NA,SARS-CoV-2/human/IND/8003/2020,Homo sapiens,nasopharyngeal swab,01-JUN-2020,3
MT676290.1,Severe acute respiratory syndrome coronavirus 2,29800,2020/06/29,NA,NA,NA,SARS-CoV-2/human/IND/GBRC233b/2020,Homo sapiens,NA,29-JUN-2020,3
MT675959.1,Severe acute respiratory syndrome coronavirus 2,29773,2020/06/29,NA,NA,NA,SARS-CoV-2/human/IND/GBRC232b/2020,Homo sapiens,NA,29-JUN-2020,3
MT675954.1,Severe acute respiratory syndrome coronavirus 2,29787,2020/06/29,NA,NA,NA,SARS-CoV-2/human/IND/GBRC231a/2020,Homo sapiens,NA,29-JUN-2020,3
MT675955.1,Severe acute respiratory syndrome coronavirus 2,29787,2020/06/29,NA,NA,NA,SARS-CoV-2/human/IND/GBRC231b/2020,Homo sapiens,NA,29-JUN-2020,3
MT675938.1,Severe acute respiratory syndrome coronavirus 2,29762,2020/06/29,NA,NA,NA,SARS-CoV-2/human/IND/GBRC224a/2020,Homo sapiens,NA,29-JUN-2020,3
MT675958.1,Severe acute respiratory syndrome coronavirus 2,29837,2020/06/29,NA,NA,NA,SARS-CoV-2/human/TUR/KOC-IST-B91/2020,Homo sapiens,nasal swab,29-JUN-2020,3
MT569473.1,Severe acute respiratory syndrome coronavirus 2,29782,2020/06/05,NA,NA,NA,SARS-CoV-2/human/SRB/KV27-04/2020,Homo sapiens,oronasopharynx,05-JUN-2020,3
LC553262.1,Severe acute respiratory syndrome coronavirus 2,29883,2020/06/05,NA,NA,NA,TKY10466_2020,Homo sapiens,NA,06-JUN-2020,3
LC553257.1,Severe acute respiratory syndrome coronavirus 2,29885,2020/06/05,NA,NA,NA,TKY9588_2020,Homo sapiens,NA,06-JUN-2020,3
MT568634.1,Severe acute respiratory syndrome coronavirus 2,29861,2020/06/05,NA,NA,NA,SARS-CoV-2/human/CHN/GZMU0014/2020,Homo sapiens,sputum,05-JUN-2020,3
LC553260.1,Severe acute respiratory syndrome coronavirus 2,29886,2020/06/05,NA,NA,NA,TKY10459_2020,Homo sapiens,NA,06-JUN-2020,3
LC553263.1,Severe acute respiratory syndrome coronavirus 2,29885,2020/06/05,NA,NA,NA,TKY10468_2020,Homo sapiens,NA,06-JUN-2020,3
MT568643.1,Severe acute respiratory syndrome coronavirus 2,29737,2020/06/05,NA,NA,NA,SARS-CoV-2/human/BGD/NIB-BCSIR_02/2020,Homo sapiens,Oropharyngal,05-JUN-2020,3
MT569470.1,Severe acute respiratory syndrome coronavirus 2,29782,2020/06/05,NA,NA,NA,SARS-CoV-2/human/SRB/NS838-04/2020,Homo sapiens,oronasopharynx,05-JUN-2020,3
MT569474.1,Severe acute respiratory syndrome coronavirus 2,29782,2020/06/05,NA,NA,NA,SARS-CoV-2/human/SRB/KV77-04/2020,Homo sapiens,oronasopharynx,05-JUN-2020,3
MT565497.1,Severe acute respiratory syndrome coronavirus 2,29765,2020/06/06,NA,NA,NA,SARS-CoV-2/human/USA/UNC_200428_2020/2020,Homo sapiens,nasal swab,04-JUN-2020,3
MT568640.1,Severe acute respiratory syndrome coronavirus 2,29858,2020/06/06,NA,NA,NA,SARS-CoV-2/human/CHN/GZMU0047/2020,Homo sapiens,Upper respiratory tract,05-JUN-2020,3
MT565499.1,Severe acute respiratory syndrome coronavirus 2,29820,2020/06/06,NA,NA,NA,SARS-CoV-2/human/USA/UNC_200265_2020/2020,Homo sapiens,nasal swab,04-JUN-2020,3
MT565495.1,Severe acute respiratory syndrome coronavirus 2,29834,2020/06/06,NA,NA,NA,SARS-CoV-2/human/USA/UNC_200414_2020/2020,Homo sapiens,nasal swab,04-JUN-2020,3
