accession,organism,length,collection_date,country,strain,lineage,isolate,host,isolation_source,submission_date,batch
MT276324.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/04/03,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/USA/CA-CDC-03062962-001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,2
MT276323.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/04/03,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/USA/RI-CDC-03063123-001/2020,Homo sapiens,oropharyngeal swab,08-NOV-2021,2
MT276598.1,Severe acute respiratory syndrome coronavirus 2,29870,2020/04/03,NA,NA,NA,SARS-CoV-2/human/ISR/ISR_IT0320/2020,Homo sapiens,NA,06-APR-2020,2
MT276597.1,Severe acute respiratory syndrome coronavirus 2,29851,2020/04/03,NA,NA,NA,SARS-CoV-2/human/ISR/ISR_JP0320/2020,Homo sapiens,NA,06-APR-2020,2
MT350244.1,Severe acute respiratory syndrome coronavirus 2,29870,2020/04/17,NA,NA,NA,SARS-CoV-2/human/USA/VA-DCLS-0054/2020,Homo sapiens,NA,17-APR-2020,2
MT350270.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/04/17,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/USA/WA-CDC-3082662-001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,2
MT320538.2,Severe acute respiratory syndrome coronavirus 2,29882,2020/04/10,NA,NA,NA,SARS-CoV-2/human/FRA/KRA-ROB/2020,Homo sapiens,NA,24-APR-2020,2
MT320891.2,Severe acute respiratory syndrome coronavirus 2,29822,2020/04/10,NA,NA,NA,SARS-CoV-2/human/IRN/HGRC-1.1-IPI-8206/2020,Homo sapiens,throat swab,16-APR-2020,2
MT394528.1,Severe acute respiratory syndrome coronavirus 2,29867,2020/04/28,NA,NA,NA,SARS-CoV-2/human/USA/CA-CZB-59X002/2020,Homo sapiens,nasopharyngeal/oropharyngeal swab,16-OCT-2020,2
MT394531.1,Severe acute respiratory syndrome coronavirus 2,29872,2020/04/28,NA,NA,NA,SARS-CoV-2/human/USA/CA-CZB-59X003/2020,Homo sapiens,nasopharyngeal/oropharyngeal swab,16-OCT-2020,2
MT385468.1,Severe acute respiratory syndrome coronavirus 2,29838,2020/04/27,NA,NA,NA,SARS-CoV-2/human/USA/CA-CZB0158/2020,Homo sapiens,nasopharyngeal/oropharyngeal swab,21-MAY-2020,2
MT385463.1,Severe acute respiratory syndrome coronavirus 2,29852,2020/04/27,NA,NA,NA,SARS-CoV-2/human/USA/CA-CZB036/2020,Homo sapiens,nasopharyngeal/oropharyngeal swab,21-MAY-2020,2
MT385462.1,Severe acute respiratory syndrome coronavirus 2,29855,2020/04/27,NA,NA,NA,SARS-CoV-2/human/USA/CA-CZB0707/2020,Homo sapiens,nasopharyngeal/oropharyngeal swab,21-MAY-2020,2
MT385418.1,Severe acute respiratory syndrome coronavirus 2,29902,2020/04/27,NA,NA,NA,SARS-CoV-2/human/USA/CA-CZB0703/2020,Homo sapiens,nasopharyngeal/oropharyngeal swab,21-MAY-2020,2
MT385448.1,Severe acute respiratory syndrome coronavirus 2,29871,2020/04/27,NA,NA,NA,SARS-CoV-2/human/USA/CA-CZB0705/2020,Homo sapiens,nasopharyngeal/oropharyngeal swab,21-MAY-2020,2
MT385446.1,Severe acute respiratory syndrome coronavirus 2,29874,2020/04/27,NA,NA,NA,SARS-CoV-2/human/USA/CA-CZB0713/2020,Homo sapiens,nasopharyngeal/oropharyngeal swab,21-MAY-2020,2
MT385451.1,Severe acute respiratory syndrome coronavirus 2,29868,2020/04/27,NA,NA,NA,SARS-CoV-2/human/USA/CA-CZB0137/2020,Homo sapiens,nasopharyngeal/oropharyngeal swab,21-MAY-2020,2
MT509650.1,Severe acute respiratory syndrome coronavirus 2,29800,2020/05/24,NA,NA,NA,SARS-CoV-2/human/IND/GBRC118/2020,Homo sapiens,NA,24-MAY-2020,2
MT451674.1,Severe acute respiratory syndrome coronavirus 2,29814,2020/05/11,NA,NA,NA,SARS-CoV-2/human/AUS/VIC989/2020,Homo sapiens,NA,11-MAY-2020,2
MT451134.1,Severe acute respiratory syndrome coronavirus 2,29798,2020/05/11,NA,NA,NA,SARS-CoV-2/human/AUS/VIC236/2020,Homo sapiens,NA,11-MAY-2020,2
MT472623.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/05/15,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/USA/VT-CDC-03068154-001/2020,Homo sapiens,sputum,08-NOV-2021,2
LC547521.1,Severe acute respiratory syndrome coronavirus 2,29766,2020/05/15,NA,NA,NA,hCoV-19/Japan/P3-1/2020,Homo sapiens,pharyngeal swab,16-MAY-2020,2
MT079853.1,Severe acute respiratory syndrome coronavirus 2,29766,2020/05/15,NA,NA,NA,SARS-CoV-2/human/CHN/WHUHnCoV020/2020,Homo sapiens,NA,15-MAY-2020,2
MT079848.1,Severe acute respiratory syndrome coronavirus 2,29880,2020/05/15,NA,NA,NA,SARS-CoV-2/human/CHN/WHUHnCoV006/2020,Homo sapiens,NA,15-MAY-2020,2
MT472626.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/05/15,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/USA/IA-CDC-03068849-001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,2
MT079849.1,Severe acute respiratory syndrome coronavirus 2,29904,2020/05/15,NA,NA,NA,SARS-CoV-2/human/CHN/WHUHnCoV007/2020,Homo sapiens,NA,15-MAY-2020,2
MT470109.1,Severe acute respiratory syndrome coronavirus 2,29903,2020/05/14,NA,NA,NA,SARS-CoV-2/human/France/10030NV/2020,Homo sapiens,NA,14-MAY-2020,2
MT470152.1,Severe acute respiratory syndrome coronavirus 2,29903,2020/05/14,NA,NA,NA,SARS-CoV-2/human/France/50004CS/2020,Homo sapiens,NA,14-MAY-2020,2
MT470158.1,Severe acute respiratory syndrome coronavirus 2,29903,2020/05/14,NA,NA,NA,SARS-CoV-2/human/France/10021SB/2020,Homo sapiens,NA,14-MAY-2020,2
MT470103.1,Severe acute respiratory syndrome coronavirus 2,29903,2020/05/14,NA,NA,NA,SARS-CoV-2/human/France/50010DC/2020,Homo sapiens,NA,14-MAY-2020,2
MT470178.1,Severe acute respiratory syndrome coronavirus 2,29903,2020/05/14,NA,NA,NA,SARS-CoV-2/human/France/50006PT/2020,Homo sapiens,NA,14-MAY-2020,2
MT466583.1,Severe acute respiratory syndrome coronavirus 2,29847,2020/05/14,NA,NA,NA,SARS-CoV-2/human/USA/AK002/2020,Homo sapiens,NA,14-MAY-2020,2
MT470173.1,Severe acute respiratory syndrome coronavirus 2,29903,2020/05/14,NA,NA,NA,SARS-CoV-2/human/France/10006HC/2020,Homo sapiens,NA,14-MAY-2020,2
MT467237.1,Severe acute respiratory syndrome coronavirus 2,29800,2020/05/14,NA,NA,BJ30,SARS-CoV-2/human/IND/GBRC25/2020,Homo sapiens,NA,14-MAY-2020,2
MT507274.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/05/22,NA,NA,NA,SARS-CoV-2/human/Jamaica/UN-CDC-3088778- 001/2020,Homo sapiens,swab,08-NOV-2021,2
MT506888.1,Severe acute respiratory syndrome coronavirus 2,29782,2020/05/22,NA,NA,NA,SARS-CoV-2/human/USA/WI-UW-349/2020,Homo sapiens,nasal swab,22-MAY-2020,2
MT506693.1,Severe acute respiratory syndrome coronavirus 2,29821,2020/05/22,NA,NA,NA,SARS-CoV-2/human/USA/MI-MDHHS-SC20259/2020,Homo sapiens,NA,22-MAY-2020,2
MT506540.1,Severe acute respiratory syndrome coronavirus 2,29808,2020/05/22,NA,NA,NA,SARS-CoV-2/human/USA/MI-MDHHS-SC20297/2020,Homo sapiens,NA,22-MAY-2020,2
MT434785.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/05/06,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/USA/NY-CDC-3082310-001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,2
MT434801.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/05/06,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/USA/NY-CDC-3082352-001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,2
MT434817.1,Severe acute respiratory syndrome coronavirus 2,29873,2020/05/06,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/USA/NY-CDC-3082613-001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,2
MT434787.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/05/06,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/USA/NY-CDC-3082143-001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,2
MT434797.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/05/06,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/USA/NY-CDC-3082313-001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,2
MT434804.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/05/06,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/USA/NY-CDC-3082476-001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,2
MT434814.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/05/06,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/USA/NY-CDC-3082202-001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,2
MT434806.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/05/06,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/USA/NY-CDC-3082578-001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,2
MT496972.1,Severe acute respiratory syndrome coronavirus 2,29800,2020/05/20,NA,NA,BJ41,SARS-CoV-2/human/IND/GBRC36/2020,Homo sapiens,NA,20-MAY-2020,2
MT270107.1,Severe acute respiratory syndrome coronavirus 2,29782,2020/05/20,NA,NA,NA,SARS-CoV-2/human/DEU/BavPat8-ChVir1356/2020,Homo sapiens,NA,19-MAY-2020,2
MT270101.1,Severe acute respiratory syndrome coronavirus 2,29782,2020/05/20,NA,NA,NA,SARS-CoV-2/human/DEU/BavPat1-ChVir929/2020,Homo sapiens,NA,19-MAY-2020,2
MT496974.1,Severe acute respiratory syndrome coronavirus 2,29800,2020/05/20,NA,NA,BJ43,SARS-CoV-2/human/IND/GBRC38/2020,Homo sapiens,NA,20-MAY-2020,2
MT496976.1,Severe acute respiratory syndrome coronavirus 2,29800,2020/05/20,NA,NA,BJ57a,SARS-CoV-2/human/IND/GBRC56a/2020,Homo sapiens,NA,20-MAY-2020,2
MT496984.1,Severe acute respiratory syndrome coronavirus 2,29794,2020/05/20,NA,NA,BJ63,SARS-CoV-2/human/IND/GBRC61/2020,Homo sapiens,NA,20-MAY-2020,2
MT481902.1,Severe acute respiratory syndrome coronavirus 2,29800,2020/05/20,NA,NA,GNR1021a,SARS-CoV-2/human/IND/GBRC88a/2020,Homo sapiens,NA,20-MAY-2020,2
MT496973.1,Severe acute respiratory syndrome coronavirus 2,29800,2020/05/20,NA,NA,BJ42,SARS-CoV-2/human/IND/GBRC37/2020,Homo sapiens,NA,20-MAY-2020,2
MT481900.1,Severe acute respiratory syndrome coronavirus 2,29800,2020/05/20,NA,NA,GNR295,SARS-CoV-2/human/IND/GBRC86/2020,Homo sapiens,NA,20-MAY-2020,2
MT496986.1,Severe acute respiratory syndrome coronavirus 2,29800,2020/05/20,NA,NA,BJ70,SARS-CoV-2/human/IND/GBRC68/2020,Homo sapiens,NA,20-MAY-2020,2
MT460090.1,Severe acute respiratory syndrome coronavirus 2,29896,2020/05/13,NA,NA,NA,SARS-CoV-2/human/USA/CA-CZB-1090/2020,Homo sapiens,nasopharyngeal/oropharyngeal swab,21-MAY-2020,2
MT459865.1,Severe acute respiratory syndrome coronavirus 2,29818,2020/05/13,NA,NA,NA,SARS-CoV-2/human/GRC/150_32764/2020,Homo sapiens,NA,13-MAY-2020,2
MT459843.1,Severe acute respiratory syndrome coronavirus 2,29818,2020/05/13,NA,NA,NA,SARS-CoV-2/human/GRC/46_36230/2020,Homo sapiens,NA,13-MAY-2020,2
MT459979.1,Severe acute respiratory syndrome coronavirus 2,29782,2020/05/13,NA,NA,NA,SARS-CoV-2/human/SRB/Novi Pazar-363/2020,Homo sapiens,NA,13-MAY-2020,2
MT461644.1,Severe acute respiratory syndrome coronavirus 2,29893,2020/05/13,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW-6485/2020,Homo sapiens,NP/OP swab,27-MAY-2020,2
MT461603.1,Severe acute respiratory syndrome coronavirus 2,29912,2020/05/13,NA,NA,NA,SARS-CoV-2/human/USA/UNKNOWN-UW-3982/2020,Homo sapiens,NP/OP swab,27-MAY-2020,2
MT459863.1,Severe acute respiratory syndrome coronavirus 2,29818,2020/05/13,NA,NA,NA,SARS-CoV-2/human/GRC/148_31943/2020,Homo sapiens,NA,13-MAY-2020,2
MT539169.1,Severe acute respiratory syndrome coronavirus 2,29800,2020/05/30,NA,NA,NA,SARS-CoV-2/human/IND/GBRC129/2020,Homo sapiens,NA,30-MAY-2020,2
MT539160.1,Severe acute respiratory syndrome coronavirus 2,29758,2020/05/30,NA,NA,NA,SARS-CoV-2/human/BGD/BCSIR_NILMRC_008/2020,Homo sapiens,nasopharyngeal swab,30-MAY-2020,2
MT539158.1,Severe acute respiratory syndrome coronavirus 2,29823,2020/05/30,NA,NA,NA,SARS-CoV-2/human/BGD/BCSIR_NILMRC_007/2020,Homo sapiens,nasopharyngeal swab,30-MAY-2020,2
