accession,organism,length,collection_date,country,strain,lineage,isolate,host,isolation_source,submission_date,batch
MT049951.1,Severe acute respiratory syndrome coronavirus 2,29903,2020/02/12,NA,NA,NA,SARS-CoV-2/human/CHN/Yunnan-01/2020,Homo sapiens,sputum,06-APR-2020,1
MT020880.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/02/05,NA,NA,passage details: A12 Vero p1; 5' sequence is the primer sequence used,SARS-CoV-2/human/USA/WA-CDC-02982585-001/2020,Homo sapiens,nasopharyngeal swab,07-JAN-2022,1
MT020881.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/02/05,NA,NA,passage details: F6 Vero p1; 5' sequence is the primer sequence used,SARS-CoV-2/human/USA/WA-CDC-WA1-F6/2020,Homo sapiens,oropharyngeal swab,01-MAR-2021,1
MT020781.2,Severe acute respiratory syndrome coronavirus 2,29806,2020/02/05,NA,NA,NA,nCoV-FIN-29-Jan-2020,Homo sapiens,NA,09-JUN-2020,1
MT027064.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/02/07,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/USA/CA-CDC-03040142-001/2020,Homo sapiens,oropharyngeal swab,08-NOV-2021,1
MT027063.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/02/07,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/USA/CA-CDC-03039595-001/2020,Homo sapiens,oropharyngeal swab,08-NOV-2021,1
MT027062.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/02/07,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/USA/CA-CDC-03039618-001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,1
MT106054.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/02/24,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/USA/TX-CDC-03050000-001/2020,Homo sapiens,sputum,08-NOV-2021,1
MT106053.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/02/24,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/USA/CA-CDC-03047275-001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,1
MT106052.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/02/24,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/USA/CA-CDC-03046181-001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,1
MT039887.1,Severe acute respiratory syndrome coronavirus 2,29879,2020/02/11,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/USA/WI-CDC-03041142-001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,1
MT039890.1,Severe acute respiratory syndrome coronavirus 2,29903,2020/02/11,NA,NA,NA,SNU01,Homo sapiens,NA,11-FEB-2020,1
MN988669.1,Severe acute respiratory syndrome coronavirus 2,29881,2020/02/11,NA,NA,"genome sequence collected on Jan 7, 2020",2019-nCoV WHU02,Homo sapiens,BALF sample of 2019 Wuhan peumonia patient 02,11-FEB-2020,1
MN988668.1,Severe acute respiratory syndrome coronavirus 2,29881,2020/02/11,NA,NA,"genome sequence collected on Jan 7, 2020",2019-nCoV WHU01,Homo sapiens,BALF sample of 2019 Wuhan peumonia patient 01,11-FEB-2020,1
MN975262.1,Severe acute respiratory syndrome coronavirus 2,29891,2020/02/11,NA,NA,NA,2019-nCoV_HKU-SZ-005b_2020,Homo sapiens,sputum,11-FEB-2020,1
MN938384.1,Severe acute respiratory syndrome coronavirus 2,29838,2020/02/11,NA,NA,NA,2019-nCoV_HKU-SZ-002a_2020,Homo sapiens,nasopharyngeal swab,11-FEB-2020,1
MT118835.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/02/27,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/USA/CA-CDC-03056430-001/2020,Homo sapiens,bronchoalveolar lavage,08-NOV-2021,1
MN996531.1,Severe acute respiratory syndrome coronavirus 2,29857,2020/03/18,NA,NA,NA,WIV07,Homo sapiens,bronchoalveolar lavage fluid,18-MAR-2020,1
MN996530.1,Severe acute respiratory syndrome coronavirus 2,29854,2020/03/18,NA,NA,NA,WIV06,Homo sapiens,bronchoalveolar lavage fluid,18-MAR-2020,1
MN996529.1,Severe acute respiratory syndrome coronavirus 2,29852,2020/03/18,NA,NA,NA,WIV05,Homo sapiens,bronchoalveolar lavage fluid,18-MAR-2020,1
MN996528.1,Severe acute respiratory syndrome coronavirus 2,29891,2020/03/18,NA,NA,NA,WIV04,Homo sapiens,bronchoalveolar lavage fluid,18-MAR-2020,1
MN996527.1,Severe acute respiratory syndrome coronavirus 2,29825,2020/03/18,NA,NA,NA,WIV02,Homo sapiens,bronchoalveolar lavage fluid,18-MAR-2020,1
MN908947.3,Severe acute respiratory syndrome coronavirus 2,29903,2020/03/18,NA,NA,NA,Wuhan-Hu-1,Homo sapiens,NA,18-MAR-2020,1
MT262905.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/03/31,NA,NA,5' sequence is the sequencing primer used,SARS-CoV-2/human/USA/WA-CDC-3073643-001/2020,Homo sapiens,nasopharyngeal and oropharyngeal swab,08-NOV-2021,1
MT263435.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/03/31,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW355/2020,Homo sapiens,NA,01-OCT-2020,1
MT263408.1,Severe acute respiratory syndrome coronavirus 2,29810,2020/03/31,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW328/2020,Homo sapiens,NA,01-OCT-2020,1
MT259254.1,Severe acute respiratory syndrome coronavirus 2,29887,2020/03/30,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW262/2020,Homo sapiens,NA,01-OCT-2020,1
MT259256.1,Severe acute respiratory syndrome coronavirus 2,29833,2020/03/30,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW264/2020,Homo sapiens,NA,01-OCT-2020,1
MT259230.1,Severe acute respiratory syndrome coronavirus 2,29866,2020/03/30,NA,NA,NA,SARS-CoV-2/human/CHN/Wuhan_YB012506/2020,Homo sapiens,oral swab,06-APR-2020,1
MT259235.1,Severe acute respiratory syndrome coronavirus 2,29751,2020/03/30,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW243/2020,Homo sapiens,NA,01-OCT-2020,1
MT233523.1,Severe acute respiratory syndrome coronavirus 2,29782,2020/03/24,NA,NA,NA,SARS-CoV-2/human/ESP/Valencia8/2020,Homo sapiens,naso-pharyngeal exudate,06-APR-2020,1
MT246476.1,Severe acute respiratory syndrome coronavirus 2,29863,2020/03/26,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW219/2020,Homo sapiens,NA,09-JUN-2020,1
MT246467.1,Severe acute respiratory syndrome coronavirus 2,29899,2020/03/26,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW210/2020,Homo sapiens,NA,09-JUN-2020,1
MT246464.1,Severe acute respiratory syndrome coronavirus 2,29818,2020/03/26,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW207/2020,Homo sapiens,NA,09-JUN-2020,1
MT246452.1,Severe acute respiratory syndrome coronavirus 2,29888,2020/03/26,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW195/2020,Homo sapiens,NA,27-MAY-2020,1
MT226610.1,Severe acute respiratory syndrome coronavirus 2,29899,2020/03/20,NA,NA,NA,SARS-CoV-2/human/CHN/KMS1/2020,Homo sapiens,respiratory secretion,06-APR-2020,1
MT152824.1,Severe acute respiratory syndrome coronavirus 2,29878,2020/03/05,NA,NA,NA,SARS-CoV-2/human/USA/WA2/2020,Homo sapiens,mid-nasal swab,09-AUG-2021,1
MT184909.2,Severe acute respiratory syndrome coronavirus 2,29882,2020/03/12,NA,NA,5' sequence is sequencing primer,SARS-CoV-2/human/USA/Cruise-CDC-3055039- 001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,1
MT184908.2,Severe acute respiratory syndrome coronavirus 2,29882,2020/03/12,NA,NA,5' sequence is sequencing primer,SARS-CoV-2/human/USA/Cruise-CDC-3054886- 001/2020,Homo sapiens,oropharyngeal swab,08-NOV-2021,1
MT184907.2,Severe acute respiratory syndrome coronavirus 2,29882,2020/03/12,NA,NA,5' sequence is sequencing primer,SARS-CoV-2/human/USA/Cruise-CDC-03052316- 001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,1
MT184912.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/03/12,NA,NA,5' sequence is sequencing primer,SARS-CoV-2/human/USA/Cruise-CDC-03052618- 001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,1
MT163720.1,Severe acute respiratory syndrome coronavirus 2,29732,2020/03/10,NA,NA,NA,SARS-CoV-2/human/USA/WA8-UW5/2020,Homo sapiens,NA,09-JUN-2020,1
MT163719.1,Severe acute respiratory syndrome coronavirus 2,29903,2020/03/10,NA,NA,NA,SARS-CoV-2/human/USA/WA7-UW4/2020,Homo sapiens,NA,06-APR-2020,1
MT163717.1,Severe acute respiratory syndrome coronavirus 2,29897,2020/03/10,NA,NA,NA,SARS-CoV-2/human/USA/WA4-UW2/2020,Homo sapiens,NA,06-APR-2020,1
MT163716.1,Severe acute respiratory syndrome coronavirus 2,29903,2020/03/10,NA,NA,NA,SARS-CoV-2/human/USA/WA3-UW1/2020,Homo sapiens,NA,06-APR-2020,1
LC529905.1,Severe acute respiratory syndrome coronavirus 2,29903,2020/03/10,NA,NA,NA,TKYE6182_2020,Homo sapiens,NA,07-MAR-2020,1
MT050493.1,Severe acute respiratory syndrome coronavirus 2,29851,2020/03/06,NA,NA,NA,SARS-CoV-2/human/IND/166/2020,Homo sapiens,throat swab,06-APR-2020,1
MT012098.1,Severe acute respiratory syndrome coronavirus 2,29854,2020/03/06,NA,NA,NA,SARS-CoV-2/human/IND/29/2020,Homo sapiens,throat swab,06-APR-2020,1
MT135044.1,Severe acute respiratory syndrome coronavirus 2,29903,2020/03/04,NA,NA,NA,SARS-CoV-2/human/CHN/235/2020,Homo sapiens,NA,06-APR-2020,1
MT135043.1,Severe acute respiratory syndrome coronavirus 2,29903,2020/03/04,NA,NA,NA,SARS-CoV-2/human/CHN/233/2020,Homo sapiens,NA,06-APR-2020,1
MT135042.1,Severe acute respiratory syndrome coronavirus 2,29903,2020/03/04,NA,NA,NA,SARS-CoV-2/human/CHN/231/2020,Homo sapiens,NA,06-APR-2020,1
MT135041.1,Severe acute respiratory syndrome coronavirus 2,29903,2020/03/04,NA,NA,NA,SARS-CoV-2/human/CHN/105/2020,Homo sapiens,NA,06-APR-2020,1
MT192765.1,Severe acute respiratory syndrome coronavirus 2,29829,2020/03/16,NA,NA,NA,SARS-CoV-2/human/USA/PC00101P/2020,Homo sapiens,NA,20-MAY-2020,1
MT192773.1,Severe acute respiratory syndrome coronavirus 2,29890,2020/03/16,NA,NA,passage details: Vero E6,SARS-CoV-2/human/VNM/nCoV-19-02S/2020,Homo sapiens,oro-pharyngeal,06-APR-2020,1
MT192772.1,Severe acute respiratory syndrome coronavirus 2,29891,2020/03/16,NA,NA,passage details: Vero E6,SARS-CoV-2/human/VNM/nCoV-19-01S/2020,Homo sapiens,oro-pharyngeal,06-APR-2020,1
MT192759.1,Severe acute respiratory syndrome coronavirus 2,29862,2020/03/16,NA,NA,NA,SARS-CoV-2/human/TWN/CGMH-CGU-01/2020,Homo sapiens,sputum,06-APR-2020,1
MT159716.2,Severe acute respiratory syndrome coronavirus 2,29867,2020/03/09,NA,NA,5' sequence is sequencing primer,SARS-CoV-2/human/USA/Cruise-CDC-03056442- 001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,1
MT121215.1,Severe acute respiratory syndrome coronavirus 2,29945,2020/03/09,NA,NA,passage details: Vero,SARS-CoV-2/human/CHN/SH01/2020,Homo sapiens,throat swab,06-APR-2020,1
MT159714.2,Severe acute respiratory syndrome coronavirus 2,29882,2020/03/09,NA,NA,5' sequence is sequencing primer,SARS-CoV-2/human/USA/Cruise-CDC-3053326- 001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,1
MT159713.2,Severe acute respiratory syndrome coronavirus 2,29882,2020/03/09,NA,NA,5' sequence is sequencing primer,SARS-CoV-2/human/USA/Cruise-CDC-3053324- 001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,1
MT159708.2,Severe acute respiratory syndrome coronavirus 2,29882,2020/03/09,NA,NA,5' sequence is sequencing primer,SARS-CoV-2/human/USA/Cruise-CDC-03052616- 001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,1
MT159705.2,Severe acute respiratory syndrome coronavirus 2,29882,2020/03/09,NA,NA,5' sequence is sequencing primer,SARS-CoV-2/human/USA/Cruise-CDC-03052605- 001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,1
MT159717.2,Severe acute respiratory syndrome coronavirus 2,29882,2020/03/09,NA,NA,5' sequence is sequencing primer,SARS-CoV-2/human/USA/Cruise-CDC-03052312- 001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,1
MT159715.2,Severe acute respiratory syndrome coronavirus 2,29882,2020/03/09,NA,NA,5' sequence is sequencing primer,SARS-CoV-2/human/USA/Cruise-CDC-03056916- 001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,1
MT159718.2,Severe acute respiratory syndrome coronavirus 2,29882,2020/03/09,NA,NA,5' sequence is sequencing primer,SARS-CoV-2/human/USA/Cruise-CDC-03053369- 001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,1
MT159710.2,Severe acute respiratory syndrome coronavirus 2,29882,2020/03/09,NA,NA,5' sequence is sequencing primer,SARS-CoV-2/human/USA/Cruise-CDC-03052612- 001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,1
LC534419.2,Severe acute respiratory syndrome coronavirus 2,29873,2020/03/28,NA,SARS-CoV-2/Hu/Kng/19-437,NA,NA,Homo sapiens,throat swab,29-JAN-2021,1
LC534418.1,Severe acute respiratory syndrome coronavirus 2,29878,2020/03/28,NA,SARS-CoV-2/Hu/DP/Kng/19-031,NA,NA,Homo sapiens,sputum,29-JAN-2021,1
MT300186.2,Severe acute respiratory syndrome coronavirus 2,29834,2020/04/09,NA,NA,NA,SARS-CoV-2/human/USA/UNC_200173/2020,Homo sapiens,NA,09-APR-2020,1
MT358703.1,Severe acute respiratory syndrome coronavirus 2,29855,2020/04/20,NA,NA,NA,SARS-CoV-2/human/USA/ID-UW-3888/2020,Homo sapiens,NP/OP swab,27-MAY-2020,1
MT358721.1,Severe acute respiratory syndrome coronavirus 2,29891,2020/04/20,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW-3941/2020,Homo sapiens,NP/OP swab,27-MAY-2020,1
MT358701.1,Severe acute respiratory syndrome coronavirus 2,29842,2020/04/20,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW-3881/2020,Homo sapiens,NP/OP swab,27-MAY-2020,1
MT358728.1,Severe acute respiratory syndrome coronavirus 2,29835,2020/04/20,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW-3964/2020,Homo sapiens,NP/OP swab,27-MAY-2020,1
MT358669.1,Severe acute respiratory syndrome coronavirus 2,29864,2020/04/20,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW-4329/2020,Homo sapiens,NP/OP swab,27-MAY-2020,1
MT114414.1,Severe acute respiratory syndrome coronavirus 2,29891,2020/04/20,NA,NA,NA,SARS-CoV-2/human/HKG/HKU-903a/2020,Homo sapiens,nasopharyngeal aspirate/throat swab,20-APR-2020,1
LC542809.1,Severe acute respiratory syndrome coronavirus 2,29903,2020/04/21,NA,NA,NA,TKYE6947_2020,Homo sapiens,NA,21-APR-2020,1
MT252782.1,Severe acute respiratory syndrome coronavirus 2,29858,2020/04/24,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW118/2020,Homo sapiens,NA,27-MAY-2020,1
MT374113.1,Severe acute respiratory syndrome coronavirus 2,29899,2020/04/24,NA,NA,NA,SARS-CoV-2/human/TWN/CGMH-CGU-17/2020,Homo sapiens,throat swab,24-APR-2020,1
MT252710.1,Severe acute respiratory syndrome coronavirus 2,29854,2020/04/24,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW176/2020,Homo sapiens,NA,27-MAY-2020,1
MT252716.1,Severe acute respiratory syndrome coronavirus 2,29873,2020/04/24,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW180/2020,Homo sapiens,NA,27-MAY-2020,1
MT339041.1,Severe acute respiratory syndrome coronavirus 2,29903,2020/04/15,NA,NA,NA,SARS-CoV-2/human/USA/AZ-ASU2936/2020,Homo sapiens,nasopharyngeal swab,30-OCT-2023,1
MT339039.1,Severe acute respiratory syndrome coronavirus 2,29896,2020/04/15,NA,NA,NA,SARS-CoV-2/human/USA/AZ-ASU2922/2020,Homo sapiens,nasopharyngeal swab,30-OCT-2023,1
MT334544.1,Severe acute respiratory syndrome coronavirus 2,29903,2020/04/14,NA,NA,NA,SARS-CoV-2/human/USA/UT-00028/2020,Homo sapiens,NA,14-APR-2020,1
MT334534.1,Severe acute respiratory syndrome coronavirus 2,29895,2020/04/14,NA,NA,NA,SARS-CoV-2/human/USA/UT-00015/2020,Homo sapiens,NA,14-APR-2020,1
MT293162.1,Severe acute respiratory syndrome coronavirus 2,29848,2020/04/06,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW-1302/2020,Homo sapiens,NA,01-OCT-2020,1
MT292569.1,Severe acute respiratory syndrome coronavirus 2,29782,2020/04/06,NA,NA,NA,SARS-CoV-2/human/ESP/Valencia13/2020,Homo sapiens,nasopharyngeal exudate,06-APR-2020,1
MT259229.1,Severe acute respiratory syndrome coronavirus 2,29864,2020/04/06,NA,NA,NA,SARS-CoV-2/human/CHN/Wuhan_YB012602/2020,Homo sapiens,oral swab,06-APR-2020,1
MT291827.1,Severe acute respiratory syndrome coronavirus 2,29858,2020/04/06,NA,NA,NA,SARS-CoV-2/human/CHN/Wuhan_IME-WH02/2019,Homo sapiens,bronchoalveolar lavage fluid,14-MAY-2020,1
MT192759.1,Severe acute respiratory syndrome coronavirus 2,29862,2020/04/06,NA,NA,NA,SARS-CoV-2/human/TWN/CGMH-CGU-01/2020,Homo sapiens,sputum,06-APR-2020,1
MT259227.1,Severe acute respiratory syndrome coronavirus 2,29863,2020/04/06,NA,NA,NA,SARS-CoV-2/human/CHN/Wuhan_YB012611/2020,Homo sapiens,oral swab,06-APR-2020,1
MT350241.1,Severe acute respiratory syndrome coronavirus 2,29857,2020/04/17,NA,NA,NA,SARS-CoV-2/human/USA/VA-DCLS-0051/2020,Homo sapiens,NA,17-APR-2020,1
MT350256.1,Severe acute respiratory syndrome coronavirus 2,29835,2020/04/17,NA,NA,NA,SARS-CoV-2/human/USA/VA-DCLS-0067/2020,Homo sapiens,NA,17-APR-2020,1
MT350243.1,Severe acute respiratory syndrome coronavirus 2,29856,2020/04/17,NA,NA,NA,SARS-CoV-2/human/USA/VA-DCLS-0053/2020,Homo sapiens,NA,17-APR-2020,1
MT350277.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/04/17,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/USA/WA-CDC-3082656-001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,1
MT350268.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/04/17,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/USA/WA-CDC-3082638-001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,1
MT350278.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/04/17,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/USA/WA-CDC-3082648-001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,1
MT350265.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/04/17,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/USA/WA-CDC-3082639-001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,1
MT350272.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/04/17,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/USA/WA-CDC-3082650-001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,1
MT350274.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/04/17,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/USA/WA-CDC-3082664-001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,1
MT412238.1,Severe acute respiratory syndrome coronavirus 2,29842,2020/04/30,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW-596/2020,Homo sapiens,NP/OP swab,27-MAY-2020,1
MT412303.1,Severe acute respiratory syndrome coronavirus 2,29910,2020/04/30,NA,NA,NA,SARS-CoV-2/human/USA/CT-UW-4348/2020,Homo sapiens,NP/OP swab,27-MAY-2020,1
MT412333.1,Severe acute respiratory syndrome coronavirus 2,29825,2020/04/30,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW-6403/2020,Homo sapiens,NP/OP swab,27-MAY-2020,1
MT370875.1,Severe acute respiratory syndrome coronavirus 2,29724,2020/04/23,NA,NA,passage_history: sequence was derived directly from the original sample material,SARS-CoV-2/human/USA/NY-PV08473/2020,Homo sapiens,nasal swab,06-AUG-2020,1
MT371037.1,Severe acute respiratory syndrome coronavirus 2,29694,2020/04/23,NA,NA,passage_history: sequence was derived directly from the original sample material,SARS-CoV-2/human/USA/NY-PV09178/2020,Homo sapiens,nasal swab,23-APR-2020,1
